,company_name,position_name,language,education,experience,responsibility,personality
84,Yacht B.V.,Unknown,Dutch,"HBO degree in Information Management, Computer Science, Business Administration, Finance, or a related field",Unknown,"Ability to understand, describe, and analyze complex business processes","Strong communication skills, ability to work in a dynamic environment with frequently changing priorities, strong affinity with IT"
85,Vanderlande Industries B.V.,Unknown,English,Academic/HBO work- and thinking level,Minimum of 5 years working experience in the Cyber Security environment as a Project and / or Program Manager,"Good/Thorough understanding of Cyber Security in the areas of ICT, Secure Development & Solution Security. Excellent Program Management skills - ability to translate vision into concrete steps. Excellent communication skills at all levels across the organization.",Excellent communication skills
86,Yacht,Consultant Data Analytics,Dutch,"Completed HBO/WO education (preferably with an econometric, statistical, mathematical and/or technical background)","Minimum 2 years of relevant work experience in a corporate environment. Work experience with programming, for example with SQL, SAS, R and/or Python. Experience with visualization tools such as Power BI, Tableau, and/or Qlikview. Work experience with data science methods and techniques, such as machine learning and text mining.",Helping clients with their (complex) data problems.  Strong skills in orally and in writing presenting results in the Dutch language.,"Analytical, practical, high degree of independence"
87,Client of Yacht,Unknown,English,Unknown,"- Proficiency in data engineering tools and technologies
- Experience with automating workflows and optimizing processes",- Transforming architectural designs into efficient code,"Strong problem-solving and analytical skills, passion for innovation and driving continuous improvement"
88,Gemeente Den Haag,"Business Analyst, Developer, Implementatiemedewerker / Low-code implementator",Dutch,MBO4 (for Implementatiemedewerker),"Business Analyst: Proven experience with BPMN and DMN, preferably UML and JSON; Experience with Camunda, Valtimo is a plus; Strong understanding of application functionality.
Developer: Proven experience with Java/Spring/Kotlin; Experience with Camunda, Valtimo is a plus; Experience with Continuous Delivery and Automated Testing.
Implementatiemedewerker: Some experience with web technologies; Experience with Camunda, Valtimo.","Business Analyst: Discovery phase (workshops, identifying desired workflows), process modeling (BPMN), identifying connections with surrounding systems, translating requirements for developers and implementers.
Developer: Realizing system connections (OpenZaak, IAM, DMS, PWA/React, backend applications), fulfilling requests requiring developer skills within Valtimo, Camunda, application architecture for Camunda, Valtimo.
Implementatiemedewerker: Implementing processes in GZAC within SZW, creating documentation.","Business Analyst: Eye for detail, socially skilled, stress-resistant.
Developer: Unknown
Implementatiemedewerker: Unknown"
89,Gemeente Den Haag,"Business Analyst, Developer, Implementatiemedewerker/Low-code Implementator",Dutch,MBO4 (for Implementatiemedewerker),"Business Analyst: Proven experience with BPMN and DMN, preferably UML and JSON; Experience with Camunda, Valtimo is a plus; Strong understanding of application functionality. 
Developer: Proven experience with Java/Spring/Kotlin; Experience with Camunda, Valtimo is a plus; Experience with Continuous Delivery and Automated Testing. 
Implementatiemedewerker: Some experience with web technologies; Experience with Camunda, Valtimo.","Business Analyst: Discovery phase (workshops, identifying desired workflows), process modeling (BPMN), identifying connections with surrounding systems, translating requirements for developers and implementers. 
Developer: Realizing system connections (OpenZaak, IAM, DMS, PWA/React, backend applications), fulfilling requests requiring developer skills within Valtimo, Camunda, application architecture for Camunda, Valtimo. 
Implementatiemedewerker: Implementing processes in GZAC within SZW, creating documentation.","Business Analyst: Eye for detail, socially skilled, stress-resistant. 
Developer: Unknown 
Implementatiemedewerker: Unknown"
90,Academisch Ziekenhuis Groningen,Unknown,Dutch,Unknown,"1. Extensive knowledge of Power BI for designing and developing dashboards and reports.
2. In-depth expertise in Microsoft SQL Server for managing and transforming data.
3. Strong knowledge of SQL language for data analysis and query optimization.
4. Experience with data visualization and dashboarding techniques.
8. Knowledge of data warehouse concepts and data modeling",Designing and developing dashboards and reports using Power BI; managing and transforming data using Microsoft SQL Server; data analysis and query optimization using SQL; data visualization and dashboarding; effective collaboration and communication with various stakeholders.,Excellent communication and social skills; proactive attitude; ability to work independently and take initiative; analytical thinking and problem-solving skills.
91,Een klant van Yacht,Unknown,Dutch and English,Unknown,"1. Proficiency in LLMs and generative AI, with practical experience using and refining models. Experience specifically with C++ code analysis and generation is a plus.
2. Solid foundation in C++ programming, including reading, understanding, modifying complex C++ code, and implementing code transformations.
3. Experience with code analysis and restructuring, identifying potential problems, and proposing solutions.
4. Knowledge of software engineering principles (design patterns, modularity, maintainability) to improve code readability and quality.
5. Proficiency in version control systems like Git, including working with distributed teams and managing code repositories.
7. Strong desire for continuous learning in the field of LLMs and Generative AI, keeping up with advancements and applying cutting-edge techniques.",Analyzing and restructuring C++ codebases; identifying and resolving code issues; improving code quality and readability; applying software engineering principles; using version control systems; collaborating with a team; implementing code transformations using LLMs and Generative AI; continuous learning and adapting to advancements in the field.,Strong problem-solving and analytical skills; excellent communication and collaboration skills; proactive and adaptable.
92,Vanderlande Industries B.V.,Unknown,English,Unknown,Leading SW Development Teams; Agile experience,"Leading two scrum teams (20 FTE) focusing on people, process, and quality.","Positive mindset, self-starter (mature leader); influencing skills"
93,Nieuwkoop Europe B.V.,Unknown,Dutch,HBO work and thinking level,Minimum 3 years of relevant work experience; basic knowledge of SQL databases and writing queries; experience with both front-end and back-end (cloud) systems (including CRM),Unknown,Unknown
94,Koninklijke KPN N.V.,Unknown,English,"Bachelor's degree or equivalent work experience in informatics, computer science, or engineering.","More than 3 years experience in software development; experience in large-scale, enterprise software development; building APIs and integrations (e.g., REST); object-oriented analysis and design; developing reliable, highly available, and scalable code; understanding and applying design patterns; programming with JavaScript and/or Python; developing and designing with front-end frameworks (preferably React); data modeling using class diagrams and understanding relational databases.  Experience with ServiceNow platform, working with Telcos, basic understanding of computer networks, and affinity with the JavaScript ecosystem (Node, NPM, webpack) are preferred but not required (must be willing to learn quickly).",Unknown,Unknown
95,Yacht,Unknown,Dutch,University level work and thinking level,Minimum 3 years of relevant work experience,Unknown,"Knowledge of privacy laws and regulations (demonstrable with a CIPP/E certificate); affinity with information security and ICT; understanding of business processes and strong stakeholder and project management skills; organizational sensitivity, political acumen, and pragmatic thinking in the interest of the business; coordinating and coaching competencies, connecting and confident; practical approach and a hands-on can-do mentality."
96,Startup in Rotterdam which develops cutting edge software for the mobility market.,Software Engineer,English,"Relevant master's degree (computer science, software engineering, etc.) or equivalent skillset through experience","Experience with C#, ASP.NET, Entity Framework; understanding of software architecture in a microservices setting; experience with Google Cloud Platform (Kubernetes engine, SQL); Rust and Python experience is a plus.",Unknown,Unknown
97,Vanderlande Industries B.V.,Software Engineer,English,Bachelor's or Master's degree in Computer Science or Information Technology,5-10 years of working experience as a software engineer,"Participating in software and system design for complex features; implementing code from SW Designs and component requirements; analyzing, troubleshooting, and fixing problems and requested changes; pair programming and code review; working as a committed team player in an Agile team; refining features and defining user stories; contributing to continuous improvement through knowledge sharing.","Enthusiastic, result-driven, hands-on, proactive, solution-driven, committed team player"
98,Gemeente Eindhoven,Product Owner / Scrum Master,Dutch,Completed HBO or WO level education,Several years of experience as a Product Owner or Scrum Master; experience with Agile work methods; experience with stakeholder management,Unknown,"Proactive, entrepreneurial, initiative-taking; results-oriented and focused on quality; enthusiastic, analytical, and technically strong; communicative and able to convince people of your viewpoint; able to collaborate well"
99,Yacht,Senior Tester / Test Engineer,Dutch,HBO work/thinking level; preferably a degree in information science and/or computer science,"At least 6 years of relevant work experience, with at least 3 years in a role fitting this profile; experience in executing projects in an Agile development environment (Agile, SCRUM); experience with automated testing of complex systems, preferably with TOSCA (Tricentis); experience working in business-critical projects with a high risk of failure",Unknown,"Enthusiastic, decisive, strong analytical skills; broad perspective, able to oversee the whole and determine the place of own work; excellent knowledge and insight into the latest theoretical and technological developments in the testing field; able to translate initial ideas/concepts into usable test strategies; excellent team player; communicative and enthusiastic; pragmatic; fluent in Dutch and English (written and spoken)."
100,Koninklijke Philips N.V.,Unknown,English,BSc or MSc in software engineering,1 or 2 years of experience in a professional organisation; Knowledge of technical software application (embedded software / application software),Unknown,Unknown
101,Yacht,Unknown,Dutch,Completed HBO/WO education,Minimum 5 years of experience in a banking environment; Minimum 2 years of experience within FEC,Unknown,"Analytical, stress-resistant, high organizational sensitivity, strong communication skills"
102,PwC Strategy& (Netherlands) B.V.,Unknown,Dutch,"HBO or WO degree in a relevant field, such as Computer Science or Software Engineering","Minimum 3 years of experience with test automation and a good command of Java and Javascript; Experience with Java, Spring architecture, Javascript, React, Artifactory, GitHub Enterprise Cloud; Experience with test tools such as Selenium, Cucumber, Postman, JUnit5; Experience with Azure VMs, Kubernetes, Selenium Grid, Ubuntu servers; Experience with managing non-relational databases (MongoDB); Experience with project management tools such as JIRA, SharePoint; Experience with functional and manual testing",Unknown,"Team player open to different ideas and perspectives; Committed, innovative, and entrepreneurial"
103,Yacht,Unknown,Dutch,MBO-level education,"Several years of experience in IT, preferably in a Microsoft environment",Unknown,"Flexible, customer-friendly, independent, collegial, proactive, willing to work standby shifts"
104,DAF Trucks N.V.,Unknown,Dutch,At least a HBO degree in Computer Science,Excellent understanding of commercial and operational business processes; Good knowledge of current and new IT techniques,Unknown,"Critical, gets to the essence, persistent in solving incidents; Maintains overview by prioritizing; Proactively and preventively makes improvement suggestions regarding adding or modifying functionalities"
105,Landelijk Dienstencentrum voor de Rechtspraak,Unknown,Dutch,"HBO/WO degree in Business ICT Management, Business Administration, or similar",At least three years of relevant work experience with demonstrable experience in IT implementations,Unknown,Unknown
106,Stichting Patiëntenzorg Antoni van Leeuwenhoek,Unknown,Dutch,HBO work and thinking level,"Experience in the world of ICT, familiar with working under architecture and with data warehousing; Experience in setting and monitoring a clear course and change processes; Knowledge of and experience with IT process management, such as ISM/ITIL or Agile",Unknown,Able to ask the right questions to experts and ensure structure and connection; Able to make choices
107,Argenta Spaarbank NV,Data Analyst,Dutch,Unknown,Demonstrable experience as a data analyst with knowledge of relevant tools and techniques; Experience building datamarts and creating dashboards,Unknown,"Good communication skills, able to present complex analyses in an understandable way to various stakeholders; Driven, independent, and able to work well in a team; Proactive, self-starting, energetic, and responsible"
108,Ministerie van Justitie en Veiligheid,Unknown,Dutch,HBO work and thinking level,"Theoretical and practical knowledge of system development and management in a Java and Oracle environment; Knowledge of Agile working (Scrum); Knowledge of process-oriented working (BISL, ITIL); Knowledge of test procedures/protocols; Knowledge of formulating S.M.A.R.T. goals; Use of automated systems; Coordination of operational processes",Unknown,Unknown
109,Gemeente Groningen,Project Support,Dutch,HBO work and thinking level,ITIL or MSP (Managing Successful Programmes);  Extensive experience as a project support on a tactical/strategic level; Multi-year experience; Experience with various project methodologies; Project creation concerning PSU; IPMA D theory,Unknown,Assertive; Critical capacity; Analytical and decisive capacity/conceptual thinking; Result-oriented; Flexible; Influencing power; Helicopter view; Environmentally conscious (administrative and political antenna)
110,Gemeente Groningen,Informatie-adviseur (Information Advisor),Dutch,HBO+ work and thinking level,"Multiple years of experience advising on and implementing case-based working; Knowledge of and experience with drawing up impact analyses and process dashboards; Knowledge of and experience with case-based working within the context of municipal, public service; Knowledge of and experience with municipal information architecture and application landscapes; Affinity with Dimpact and municipal services is preferred","Giving directors insight into expectations, determining timing together with them, by drawing up impact analyses at the directorate and department level showing the consequences of migration and implementation; Providing current and permanent insight into processes with an e-service component, currently used e-Suite functionalities, future necessary PodiumD functionalities and any other conditional aspects; Defining the extent to which processes to be migrated/newly implemented relate to the reference architecture (intended standardization of processes and applications, process and information architecture); Involvement, support and visible willingness to act among fellow i-advisors to migrate existing processes and implement new processes, even if this comes at the expense of efforts on other activities; Increasing knowledge within the directorate of Common Ground where, among other things, reuse of data and standardization of processes leads to smart interaction with residents, entrepreneurs and social organizations; Connection with the development of PodiumD within the Dimpact context through participation/contribution to Dimpact's lead user groups and working groups.","Softskills to raise the standardization of processes, working through the configuration thereof in PodiumD, as the norm; Able to explain the philosophy of (the advantages of) short-cycle development and implementation of products/functionalities that offer a minimum basis; Able to identify the right stakeholders to realize involvement and support for the end goal and route in line with the chosen path of agile development; Result-oriented and a driver; Stress-resistant; In your communication, a convincing connector between departments, teams and employees; Radiates a hands-on mentality and shows this in words and actions"
111,ASML Netherlands B.V.,UX DesignOps,English,"Bachelor's degree; Preferred: Degree in Computer Science, Information Science, or Experience Design",Extensive experience with Figma is preferred,"Maintaining software solutions for UX competence stakeholders;  This role emphasizes precision and a drive for improvement with a critical mindset, rather than traditional UX design responsibilities.","Exceptional attention to detail and precision in work; Proactive attitude towards continuous improvement; Perfectionist capable of prioritizing effectively; Ability to comprehend complex subjects such as security, privacy, and legal matters; Proficiency in planning tasks and independently achieving agreed-upon objectives; Strong collaboration skills with other disciplines; Clear and effective communication skills with users and stakeholders, both verbally and in writing; Eagerness to familiarize oneself with the functionalities and administration of various software applications; Affinity with the User Experience Design profession"
112,ABN AMRO,UX Designer,Dutch,Unknown,"Minimum four years of experience in UX; Experience at a large organization or projects for large organizations; Strong portfolio with vision and focus on UX; Experience with responsive web design and mobile; Experience with programs like Figma (or similar); Knowledge of CSS, HTML, and Bootstrap",Unknown,"Able to quickly absorb, adopt, and convey knowledge regarding their own field; Knowledge of Design Thinking and other design techniques and the ability to implement them; Excellent command of the Dutch language"
113,ABN AMRO,Unknown,Dutch,Minimum Master's degree,Minimum 5 years of demonstrable experience with (consultancy) projects,Unknown,"Analytically strong; Able to quickly get to the core of a problem; Able to translate complex problems into understandable language and involve stakeholders; Change-oriented and energized by complex challenges; Strong in stakeholder management and easily connects stakeholders; Pragmatic, solution-oriented, and proactive; Excellent in English and native Dutch speaker; Excellent PowerPoint skills and able to build a good storyline"
114,bol.com b.v.,Data Analyst,Dutch,HBO/WO,"Proven experience as a data analyst, preferably in a technical environment; Experience with data cleaning; Experience with data analysis tools such as Python, R, SQL, etc.; Knowledge of database technology and data warehousing",Unknown,Excellent analytical and problem-solving skills; Strong communication and presentation skills; Ability to work independently and as part of a team; Eye for detail and accuracy; Passion for technology and data-driven decision-making
115,Thales Nederland B.V.,Unknown,Dutch,Unknown,"Relevant work experience, especially in an Agile environment; Experience within a complex enterprise IT environment",Unknown,Strong communication skills; Team player; Flexible;  Willingness to adopt new ways of working
116,Koninklijke Philips N.V.,Mobile Software Engineer,English,Bachelor or Master's degree in Software Engineering/Computer Science,"Minimum 5 years of relevant work experience in mobile SW development; Experience developing native iOS components using Swift; Experience developing native Android components using Kotlin; Experience developing multiplatform components using Kotlin Multiplatform; Experience with various iOS package managers, including CocoaPods; Experience with different build tools, including Gradle; Experience with development of software governed by Medical regulatory standards (ISO13485, IEC62304, etc.)",Unknown,Dedication to Test Driven Development and design
117,DUO,Informatie Analist (Information Analyst),Dutch,Completed HBO/WO education,"Extensive knowledge and experience of and with business analysis and/or information analysis methodologies; Experience in performing information analyses with multiple processes, systems, and internal and external stakeholders and chain partners (2 years); Drafting requirements and drawing up analyses, process descriptions, and diagrams at the system level (2 years); Minimum 5 years of experience with privacy laws and regulations (Preferred); Experience conducting DPIAs and work experience in an IT environment (Preferred); Experience working in (government) organizations (Preferred)",Unknown,"Proactive, autonomous connector; Strong communicative skills at the operational level; Recognizes the core and connections in situations, issues, and data; Selects the right information from various sources; Distinguishes between main and secondary points; Brings a logical structure to a multitude of information; Makes connections between data and/or issues; Distinguishes cause and effect; Uses different perspectives in the analysis; Perseverance; Result-oriented; Environmentally sensitive;  Pragmatic; Excellent oral and written expression skills; Analytical ability; Persuasiveness; Decisiveness; Organizational sensitivity"
118,Yacht / Rabobank,Data Quality Improvement Role,Dutch,HBO or WO level education,Experience with complex business processes; Banking experience or experience in the financial sector; Knowledge of DAMA DMBoK; Experience with data profiling and/or data quality assessment; Experience with coordinating and organizing,Connecting stakeholders and improving data quality; Organizing meetings; Monitoring process progress; Effective communication; Analyzing and solving data quality problems; Improving awareness; Working on structural process improvements,Affinity with innovation and technology; Good communication skills in Dutch; Good command of English
119,Randstad Global IT Solutions B.V.,Global Service Designer,English,Unknown,"3+ years of experience in a service design role or similar; Keen understanding of working in corporate organizations with lots of stakeholders, under business and technical constraints; Experience with journey frameworks, journey mapping, and service blueprinting; Experience in user-centered design, design thinking, service design; Experience with insights management and journey management; Experience with creating and operationalizing need-based personas (based on morphological psychology theory); Experience in working in fast-paced environments; Preferably experience researching as part of (agile) design sprints or supporting different product and process teams; Experience with journey mapping tools, such as TheyDo, or equivalent (preferred); Experience linking CX metrics to qualitative insights (preferred)",Unknown,Leads by example; Passion for creating delightful services; Strong visual design skills; Great communication skills in English;  Able to handle multiple projects independently and in multidisciplinary teams
120,One of the largest worldwide accounting firms,Unknown,English,"Formally/academically trained in computer science, mathematics, or a related field.","Fluent in several programming languages (most importantly GoLang and TypeScript), knowledge of and experience with React (React-dnd), extensive knowledge of Kubernetes API and resource management, extensive knowledge of Redis and MinIO, basic knowledge of IT security, experience with MarkLogic (advantageous), experience with writing unit tests, hands-on in programming and application management, experience working in an agile (SCRUM) team.","Building and maintaining applications using GoLang and TypeScript, managing Kubernetes resources, ensuring application resilience and stability, working with Redis and MinIO databases, implementing unit tests, contributing to team documentation, and collaborating effectively within an agile team.","Great analytical skills, not put off by new technology, an example for others in terms of approach, code, and documentation, team player."
121,Booking.com B.V.,Unknown,English,Unknown,"5-8 years of experience working in ITDR programs and successful execution in complex, decentralized environments, ideally in the tech industry; Business Continuity experience desirable; IT Disaster Recovery Institute International (DRII) or other DR professional certification (highly valued); Strong understanding of Data Backup & Restore requirements / capabilities.","Developing and executing IT Disaster Recovery (ITDR) programs; Managing and coordinating ITDR initiatives across complex, decentralized environments; Engaging with stakeholders to communicate the importance and benefits of ITDR; Prioritizing, planning, and tracking ITDR programs; Ensuring business continuity.",Strong customer focus; Excellent stakeholder engagement skills; Highly organized; Strong attention to detail; Practical approach to ITDR and Risk Management.
122,Knab,Application Manager or similar (IAM or RBAC expert),English and Dutch,Unknown,Experience as Application Manager or similar (IAM or RBAC expert); Experience with or willingness to learn Azure Active Directory; Experience with or willingness to learn IdentityNow; Experience with or willingness to learn Jira; Familiarity with role-based access control (RBAC) and Identity and Access Management (IAM); Familiarity with ticketing systems.,Unknown,Unknown
123,ABN AMRO Group N.V.,Unknown,English,Unknown,"Extensive experience with Java 11+ (>7 years); Extensive experience with Spring (boot) (>5 years); Experience with Spring security; Experience with relational databases and ERD diagrams; Expert knowledge of security and encryption principles and methods (implementation in Java required); Good knowledge of application architecture and design (UML modelling required); Experience with unit, integration, and application tests (e.g., JUnit, Mockito); Experience with REST APIs; Experience with Kubernetes; Experience with CI/CD Pipelines (Gitlab); Experience with Git; Experience with Azure Cloud technologies; Agile experience.",Unknown,Team player; Good communication skills; Agile mindset.
124,Yacht - Rabobank,Product Owner/Project Manager (Analytics),English,"Academic degree in a technical field (e.g., computer science, mathematics, econometrics or similar)","5+ years of experience as Product Owner/Project Manager or similar role in the field of analytics; Experience with complex analytics; Professional experience with bringing Analytics Solutions to production; Experience in the financial sector, preferably at a bank; Preferred (but not required): experience in fighting Financial Economic Crime.",Unknown,Unknown
125,ABN AMRO Group,Unknown,English,Academic working level,10+ years of experience and proven track record in payroll and HR IT transformation in an international setting; Experience in payroll transformation in Germany; Experience with managing ADP as a payroll provider; Proven project management skills and experience working in an agile environment.,"Managing project timelines, dependencies, and risks;  Stakeholder management;  Communicating and presenting to senior management; Overseeing delivery while empowering experts to take ownership; Ensuring structured work and attention to detail.",Open and proactive; Comfortable communicating and presenting at senior management level; Solution-oriented; Stress-resistant.
126,Yacht,Recruitment Intern,Dutch,Unknown,Affinity with recruitment and HR; Interest in working with highly educated professionals.,Unknown,Motivated
127,ABN AMRO,Unknown,Dutch,HBO (higher professional education) work and thinking level or equivalent.,"Affinity with private banking products and processes; Demonstrated affinity with IT and data analysis; Affinity and basic knowledge of Private Banking activities, investment services, financial markets, and the types of clients, products, and services involved; Experience in the financial sector, preferably at a bank.",Collaborating with the team to realize vision and ideas; Creating a future-proof operating model for investments based on new regulations.,Proactive and analytical; Collaborative; Innovative; Goal-oriented;  Able to connect with others.
128,ABN AMRO Group N.V.,PMO,English,Unknown,"Expert in PMO activities; Expert in Excel & PowerPoint; Experience with MS Office, Teams, Outlook; Excellent communication skills; Able to deal with a broad stakeholder field; Experience working with IT organizations, client units, and 2nd line parties in a financial institution (context provided).","Supporting process automation within the KYC and TM domains; Working with diverse stakeholders across IT, client units, and compliance/legal departments.",Excellent communication skills; Ability to manage a broad range of stakeholders.
129,Yacht Inhouse Services B.V.,Unknown,Dutch,HBO (higher professional education) work and thinking level,Preferably some experience with project work; Affinity with implementing process improvements related to ICT.,Unknown,Enthusiastic; Curious; Courageous; Solution-oriented; Good communication skills; Natural networker; Able to weigh conflicting interests; Thorough.
130,ABN AMRO,Unknown,Dutch,Unknown,"Knowledge and experience in the field of Procurement, preferably in the IT category; Experience with purchasing and/or contract management.",Completing tasks thoroughly; Obtaining cooperation from others;  Documenting work and project management; Bringing projects to a successful conclusion within a short timeframe;  Improving Procurement processes.,Driven; able to find the right tone with people;  Team player;  Tactical thinking; Practical skills; Risk-aware; Result-oriented; Enterprising.
131,Yacht Group Nederland B.V.,Unknown,Dutch,"Completed HBO (Higher Professional Education) degree, preferably in a relevant field such as Business Administration, Information Management, or Computer Science","Minimum 3 years of experience at the interface between business and IT (e.g., as information manager, information consultant, business analyst, record manager, project manager, etc.); Experience with translating information needs into policies, information architecture, projects, and improved IT services; Experience with developing and implementing information policies and strategies.",Unknown,Unknown
132,ABN AMRO,Business Analyst/Project Manager DevOps,English,Unknown,"Minimum 5 years of project management experience; Experience within the financial sector; Good understanding of credit risk processes (data, distressed client management); Experienced in gathering and documenting requirements.",Leading crucial IT changes; Managing projects; Communicating with stakeholders (management and end-users); Gathering and documenting requirements.,Highly result-oriented; Excellent stakeholder communication skills (verbal and written).
133,ABN AMRO,Unknown,English,"Bachelor's degree in Computer Science, Information Technology, or a related field. An advanced degree or certification in Project Management is a plus.",Proven track record in successfully realizing complex (Agile) change initiatives; Experience in providing advice from multiple disciplines (5+ years); Experience mobilizing people through difficult transitions.,Realizing complex change initiatives; Maintaining oversight within large programs; Driving execution of change control procedures; Assessing change performance; Connecting relevant people; Enabling smooth execution; Facilitating strategy execution; Translating holistic view into concrete actions.,"Pragmatic; Excellent leadership, communication, and negotiation skills; Passion for creating customer impact; Collaborative; Able to work across silos."
134,ABN AMRO Group N.V.,Unknown,English,Unknown,"3-5 years of experience in a comparable role; Experience with Agile (Scrum) methodology; Experience with Azure Boards, Jira Align, and Power BI; Preferred experience at a bank or financial institution.",Writing user stories; Translating business requirements into technical requirements; Refining work with the team; Serving as the go-to person for the DevOps team regarding product knowledge; Working closely with business stakeholders; Analyzing data and creating clarity from complex information.,Unknown
135,Ministerie van Financiën: Belastingdienst,Test Automation Engineer,Dutch,Unknown,"Extensive knowledge of automated testing (Robot Framework, SOAPUI, Jenkins); Knowledge and experience with Java and/or Python (preferred); Knowledge and experience with IBM BAW (or similar) (preferred); Knowledge of SCRUM and experience with SCRUM projects; Knowledge and experience with SAFe (preferred).",Unknown,Good communication skills; Team player; Flexible attitude; Drive and perseverance.
136,Yacht NL B.V.,Back-end Developer,Dutch,Unknown,"Preferably 2 years of experience in back-end development; Experience with setting up and maintaining cloud infrastructure, serverless, cloud SQL, Kubernetes, Pub/Sub; Experience with ETL jobs and data enrichment, as well as exposing results through (micro) services; Experience with developing enterprise-grade software solutions; Experience with GIT version control; Familiar with unit testing, TDD, or similar; Familiar with Agile working, SCRUM.",Unknown,Self-motivated; Quick learner; Curious; Willing to take on challenges.
137,Yacht NL B.V.,Yacht Trainee Data Specialist,Dutch,HBO or WO degree in Data related field,"Relevant internship or work experience in Data Analysis, Data Science, Business Intelligence, Big Data, or (Advanced) Analytics",Unknown,Willing to actively contribute to and expand the Yacht trainees network.
138,KPN B.V.,Unknown,Dutch,"HBO (Higher Professional Education) degree, preferably a technical field.",Minimum 5 years of experience in Windows and/or Linux environments.,"Taking responsibility and coordinating the entire chain towards the client, while maintaining a complete overview.",Enthusiastic; Energetic; Communicative; Self-confident; Able to act independently; Able to think beyond departmental boundaries; Team player.
139,Vanderlande Industries B.V.,Unknown,English,Unknown,5+ years of proven working experience in the digital design field; (Service) Design Thinking experience; Proven experience in designing data dashboards and visualizations; Experience in creating design systems.,Unknown,"Open-minded; Understanding of customer business and user needs; Affinity with data/digital solutions; Curious; Flexible; Agile mindset; Team player; Excellent verbal, listening, and analytical skills; Persevering; Able to influence stakeholders; Fluent in English; Affinity with data, data analytics, and data science."
140,DAF Trucks N.V.,Unknown,Dutch,Unknown,Proven experience (+/- 5 years of work experience),Unknown,"Organizational skills, strategic thinking, independent, proactive, planned and executive"
141,Bedrijfsvoeringsorganisatie West Betuwe,Unknown,Dutch,"Completed HBO or WO education with a background in information management, (technical) business administration or equivalent study programs.",Demonstrable knowledge and/or experience in the field of data-driven working; Experience with account management (within a municipal/government organization is a plus),Unknown,Unknown
142,Bedrijfsvoeringsorganisatie West Betuwe,Unknown,Dutch,HBO+ work and thinking level,Minimum 1 year of relevant work experience; Experience with advising at a strategic/tactical level,Unknown,Unknown
143,Koninklijke Luchtvaart Maatschappij N.V.,Migratie Lead,Dutch,Unknown,"Senior experience in data migration projects and business changes;  'Nice to have' experience: guiding and monitoring MVPs, creating communication plans (e.g., for shadow periods, pair tooling), change management, creating training for the business (instructional videos and exercises, train the trainer), picking up regular BPA tasks during periods of lower workload.",Unknown,Unknown
144,BMW Financial Services Nederland B.V.,Scrum Master,English,"Degree in Computer Science, Business or similar field; Scrum master certification","Proven experience in project management, preferably within the financial services sector; Experience in software development and with agile scaling approaches (e.g. Scrum of Scrums, LeSS, SAFe); Experience working in corporate & international environment; Work experience in The Netherlands",Unknown,"Great understanding of agile values and mindset; Ability to combine multiple agile roles; Ability to support multiple feature teams; Ability to work in multiple contexts and support teams with different cultural backgrounds and different ways of working; Facilitation skills, with the ability to motivate and inspire cross-functional teams; Ability to coach, moderate and work in a team; Efficient problem-solving skills and conflict-resolution ability; Accomplished mediator; Effective communication skills; Outstanding organizational skills; Creative in agile ways of working; Eager to solve complex problems with innovative solutions in a structured and organized approach"
145,In opdracht van klant,IT Manager,Dutch,Academic thinking or education level,Extensive experience in continuously improving service delivery to internal clients and processes (within an IT environment with highly qualified IT professionals); Experience in managing IT/application management; Proven delivery power,Connecting IT management and client domain; Ensuring seamless IT service delivery at a tactical level; Creating a positive impact on society,Good and clear communication skills; Strong leadership qualities in an Agile environment; Affinity with the social domain is desired
146,DAF Trucks N.V.,Unknown,Dutch,Completed HBO and/or academic education,Proven experience in Requirement Engineering and Information Analysis; Relevant experience with Cobol and Mainframe,Translating business questions into optimal system solutions; Managing (small) projects; Working independently and in (project) teams,"Strong analytical skills; Persistent, convincing and critical, both towards oneself and the client; Ability to separate important matters from less important ones in a dynamic and demanding environment; Communicative, result-oriented, customer-focused; Familiar with the IT development process and has good knowledge of IT developments within the field"
147,Randstad Nederland B.V.,Java Developer,English,"Technical education (degree, bootcamp)",5+ years of Java development; Full stack development experience,Unknown,"Passion for development; Allround/hands-on/self-starting mentality; Strong affinity for working in a dynamic environment with high quality requirements and an Agile mindset; Structured, analytical, able to approach things outside the box; Customer and solution-oriented; Ambitious and courageous; Willing to continuously challenge and improve oneself; Comfortable in a technically complex environment and not afraid to find solutions outside one's current area of expertise"
148,Relatie van YACHT,Unknown,Dutch,WO work and thinking level,"At least 5 years of experience in similar roles; Experience with architecture within an Agile work environment; Hands-on experience with application integration and API development from a role as (senior) developer or solution architect; Current experience with concepts and technologies such as REST, Swagger, and JSON",Unknown,Connector; Perseverance; Team player
149,Randstad Groep Nederland B.V.,Java Developer,English,"Technical education (degree, bootcamp)",3+ years of Java development,Unknown,"Passion for development; Agile Scrum mindset; All-round/hands-on/self-starting mentality; Strong affinity with working in a dynamic, high-quality environment; Structured, analytical, able to think outside the box; Customer and solution-oriented; Ambitious and courageous; Comfortable in a technically complex environment; Patience and perseverance; Strong communication skills; Committed to getting the job done"
